id	source	name	update	type	parent_id	parent_name	contact_email	contact_form	contact_phone	contact_fax	website	streetAddress	postOfficeBoxNumber	postalCode	addressLocality	addressCountry	latitude	longitude
165785	http://lannuaire.service-public.fr/ambassades/ambassade-ou-mission-diplomatique_165785	Ambassade de France AFGHANISTAN - Kaboul	2015-09-03	ambassade-ou-mission-diplomatique		Ambassades	presse.kaboul@diplomatie.gouv.fr	http://www.ambafrance-af.org/Nous-contacter	+93 (202) 105 293		http://www.ambafrance-af.org	Avenue de Cherpour, Chahr-e Nao			Kaboul	 AFGHANISTAN		
167149	http://lannuaire.service-public.fr/ambassades/ambassade-ou-mission-diplomatique_167149	Ambassade de France AFRIQUE DU SUD - Pretoria	2015-09-03	ambassade-ou-mission-diplomatique		Ambassades	france@ambafrance-rsa.org	http://www.ambafrance-rsa.org/Contact-us,899	+27 (0) 12 425 1600	+27 (0) 12 425 1609	http://www.ambafrance-rsa.org	D'avril à janvier : 250 Melk Street, Nieuw Muckleneuk			Prétoria, 0181	 AFRIQUE DU SUD		
168416	http://lannuaire.service-public.fr/ambassades/ambassade-ou-mission-diplomatique_168416	Ambassade de France ALBANIE - Tirana	2015-09-03	ambassade-ou-mission-diplomatique		Ambassades	ambafrance.tr@adanet.com.al		+355 4 238 97 00	+355 4 238 97 17	http://www.ambafrance-al.org	14  Rruga Skënderbej		1000	Tirana	 ALBANIE		
169513	http://lannuaire.service-public.fr/ambassades/ambassade-ou-mission-diplomatique_169513	Ambassade de France ALGÉRIE - Alger	2014-11-10	ambassade-ou-mission-diplomatique		Ambassades		http://www.ambafrance-dz.org/Contact	+213 21 98 17 17	+213 (21) 98 17 09	http://www.ambafrance-dz.org	25 chemin Abdelkader Gadouche			16035 Hydra, Alger	 ALGÉRIE		
170265	http://lannuaire.service-public.fr/ambassades/ambassade-ou-mission-diplomatique_170265	Ambassade de France ALLEMAGNE - Berlin	2014-09-26	ambassade-ou-mission-diplomatique		Ambassades	cad.berlin-amba@diplomatie.gouv.fr	http://www.ambafrance-de.org/Nous-ecrire	+49 (30) 590 03 91 00	+49 (30) 590 03 91 10	http://www.ambafrance-de.org	Pariser Platz 5			10117 Berlin	 ALLEMAGNE		
170758	http://lannuaire.service-public.fr/ambassades/ambassade-ou-mission-diplomatique_170758	Ambassade de France ANDORRE - Andorre-la-Vieille	2015-09-03	ambassade-ou-mission-diplomatique		Ambassades	admin-français.andorre-amba@diplomatie.gouv.fr		+376 (7 36) 700	+376 (7 36) 701	http://www.ambafrance-ad.org	38 Carrer-les-Canals, BP 155			AD 500 Andorre-la-Vieille	 ANDORRE		
171099	http://lannuaire.service-public.fr/ambassades/ambassade-ou-mission-diplomatique_171099	Ambassade de France ANGOLA - Luanda	2015-09-03	ambassade-ou-mission-diplomatique		Ambassades	cad.luanda-amba@diplomatie.gouv.fr	http://ambafrance-ao.org/Nous-contacter	+244 (2 22) 33 43 35 	+244 (2 22) 39 19 49	http://ambafrance-ao.org	31-33 rua Reverendo Pedro Neto			BP 584, Luanda	 ANGOLA		
171355	http://lannuaire.service-public.fr/ambassades/ambassade-ou-mission-diplomatique_171355	Ambassade de France ANTIGUA-et-BARBUDA - Saint-John's	2015-09-09	ambassade-ou-mission-diplomatique		Ambassades		http://www.ambafrance-lc.org/Nous-contacter			http://www.ambafrance-lc.org/					 ANTIGUA ET BARBUDA		
171548	http://lannuaire.service-public.fr/ambassades/ambassade-ou-mission-diplomatique_171548	Ambassade de France ARABIE SAOUDITE - Riyad	2015-09-03	ambassade-ou-mission-diplomatique		Ambassades	admin-français.riyad-amba@diplomatie.gouv.fr	http://www.ambafrance-sa.org/-Contactez-nous	+966 (11) 434 41 00	+966 (11) 434 41 79	http://www.ambafrance-sa.org	Diplomatic Quarter, PO Box 94367			Riyad 11693	 ARABIE SAOUDITE		
171676	http://lannuaire.service-public.fr/ambassades/ambassade-ou-mission-diplomatique_171676	Ambassade de France ARGENTINE - Buenos Aires	2013-12-16	ambassade-ou-mission-diplomatique		Ambassades	ambafr@abaconet.com.ar	http://www.embafrancia-argentina.org/-Contacts-	+54 (11) 45 15 70 30	+54 (11) 45 15 01 20	http://www.embafrancia-argentina.org	Cerrito 1399, C1010ABA			Buenos Aires	 ARGENTINE		
